Scale	N	Estimated Area	Relative Error
1.000000	77100	0.711012	92.099870
1.000000	77600	0.715709	92.047680
1.000000	78100	0.717810	92.024328
1.000000	78600	0.715305	92.052163
1.000000	79100	0.724324	91.951960
1.000000	79600	0.702023	92.199749
1.000000	80100	0.712022	92.088639
1.000000	80600	0.705037	92.166253
1.000000	81100	0.692035	92.310727
1.000000	81600	0.715699	92.047794
1.000000	82100	0.724933	91.945189
1.000000	82600	0.716949	92.033898
1.000000	83100	0.709386	92.117930
1.000000	83600	0.704928	92.167464
1.000000	84100	0.709834	92.112961
1.000000	84600	0.701809	92.202128
1.000000	85100	0.698214	92.242068
1.000000	85600	0.717056	92.032710
1.000000	86100	0.702753	92.191638
1.000000	86600	0.723533	91.960739
1.000000	87100	0.719793	92.002296
1.000000	87600	0.707979	92.133562
1.000000	88100	0.706107	92.154370
1.000000	88600	0.715429	92.050790
1.000000	89100	0.702828	92.190797
1.000000	89600	0.715982	92.044643
1.000000	90100	0.709711	92.114317
1.000000	90600	0.697748	92.247241
1.000000	91100	0.716048	92.043908
1.000000	91600	0.707031	92.144105
1.000000	92100	0.721173	91.986971
1.000000	92600	0.715140	92.053996
1.000000	93100	0.711880	92.090226
1.000000	93600	0.687500	92.361111
1.000000	94100	0.708427	92.128587
1.000000	94600	0.706776	92.146934
1.000000	95100	0.721136	91.987382
1.000000	95600	0.703525	92.183054
1.000000	96100	0.716629	92.037461
1.000000	96600	0.708447	92.128364
1.000000	97100	0.694789	92.280124
1.000000	97600	0.698422	92.239754
1.000000	98100	0.710642	92.103976
1.000000	98600	0.735700	91.825558
1.000000	99100	0.714823	92.057518
1.000000	99600	0.699759	92.224900
1.500000	100	3.037500	85.000000
1.500000	600	1.586250	92.166667
1.500000	1100	1.362273	93.272727
1.500000	1600	1.721250	91.500000
1.500000	2100	1.629643	91.952381
1.500000	2600	1.440865	92.884615
1.500000	3100	1.646129	91.870968
1.500000	3600	1.625625	91.972222
1.500000	4100	1.471829	92.731707
1.500000	4600	1.514348	92.521739
1.500000	5100	1.743088	91.392157
1.500000	5600	1.750179	91.357143
1.500000	6100	1.656516	91.819672
1.500000	6600	1.626136	91.969697
1.500000	7100	1.659930	91.802817
1.500000	7600	1.510757	92.539474
1.500000	8100	1.630000	91.950617
1.500000	8600	1.488140	92.651163
1.500000	9100	1.591071	92.142857
1.500000	9600	1.643203	91.885417
1.500000	10100	1.561856	92.287129
1.500000	10600	1.583703	92.179245
1.500000	11100	1.638243	91.909910
1.500000	11600	1.496056	92.612069
1.500000	12100	1.564773	92.272727
1.500000	12600	1.578214	92.206349
1.500000	13100	1.624637	91.977099
1.500000	13600	1.651268	91.845588
1.500000	14100	1.607074	92.063830
1.500000	14600	1.568682	92.253425
1.500000	15100	1.615977	92.019868
1.500000	15600	1.566779	92.262821
1.500000	16100	1.690435	91.652174
1.500000	16600	1.569985	92.246988
1.500000	17100	1.623553	91.982456
1.500000	17600	1.616548	92.017045
1.500000	18100	1.633425	91.933702
1.500000	18600	1.628710	91.956989
1.500000	19100	1.512919	92.528796
1.500000	19600	1.641696	91.892857
1.500000	20100	1.623022	91.985075
1.500000	20600	1.545291	92.368932
1.500000	21100	1.557618	92.308057
1.500000	21600	1.596562	92.115741
1.500000	22100	1.632828	91.936652
1.500000	22600	1.574303	92.225664
1.500000	23100	1.577922	92.207792
1.500000	23600	1.641451	91.894068
1.500000	24100	1.598154	92.107884
1.500000	24600	1.560732	92.292683
1.500000	25100	1.550618	92.342629
1.500000	25600	1.608926	92.054688
1.500000	26100	1.612241	92.038314
1.500000	26600	1.602491	92.086466
1.500000	27100	1.646153	91.870849
1.500000	27600	1.597989	92.108696
1.500000	28100	1.627927	91.960854
1.500000	28600	1.600175	92.097902
1.500000	29100	1.575464	92.219931
1.500000	29600	1.602213	92.087838
1.500000	30100	1.589053	92.152824
1.500000	30600	1.655735	91.823529
1.500000	31100	1.651254	91.845659
1.500000	31600	1.599494	92.101266
1.500000	32100	1.662897	91.788162
1.500000	32600	1.556641	92.312883
1.500000	33100	1.610823	92.045317
1.500000	33600	1.623013	91.985119
1.500000	34100	1.573680	92.228739
1.500000	34600	1.530455	92.442197
1.500000	35100	1.598654	92.105413
1.500000	35600	1.585871	92.168539
1.500000	36100	1.600367	92.096953
1.500000	36600	1.609488	92.051913
1.500000	37100	1.599259	92.102426
1.500000	37600	1.589302	92.151596
1.500000	38100	1.571634	92.238845
1.500000	38600	1.590097	92.147668
1.500000	39100	1.577532	92.209719
1.500000	39600	1.555057	92.320707
1.500000	40100	1.618990	92.004988
1.500000	40600	1.563639	92.278325
1.500000	41100	1.590438	92.145985
1.500000	41600	1.570349	92.245192
1.500000	42100	1.609899	92.049881
1.500000	42600	1.537764	92.406103
1.500000	43100	1.573016	92.232019
1.500000	43600	1.622787	91.986239
1.500000	44100	1.644337	91.879819
1.500000	44600	1.591850	92.139013
1.500000	45100	1.599795	92.099778
1.500000	45600	1.552500	92.333333
1.500000	46100	1.593205	92.132321
1.500000	46600	1.598273	92.107296
1.500000	47100	1.562389	92.284501
1.500000	47600	1.629359	91.953782
1.500000	48100	1.542957	92.380457
1.500000	48600	1.600833	92.094650
1.500000	49100	1.634435	91.928717
1.500000	49600	1.620000	92.000000
1.500000	50100	1.603024	92.083832
1.500000	50600	1.577179	92.211462
1.500000	51100	1.607319	92.062622
1.500000	51600	1.586642	92.164729
1.500000	52100	1.620777	91.996161
1.500000	52600	1.588047	92.157795
1.500000	53100	1.611992	92.039548
1.500000	53600	1.612444	92.037313
1.500000	54100	1.672777	91.739372
1.500000	54600	1.577349	92.210623
1.500000	55100	1.614487	92.027223
1.500000	55600	1.624735	91.976619
1.500000	56100	1.602674	92.085561
1.500000	56600	1.598534	92.106007
1.500000	57100	1.591983	92.138354
1.500000	57600	1.635820	91.921875
1.500000	58100	1.626971	91.965577
1.500000	58600	1.577841	92.208191
1.500000	59100	1.579569	92.199662
1.500000	59600	1.588062	92.157718
1.500000	60100	1.576872	92.212978
1.500000	60600	1.645396	91.874587
1.500000	61100	1.565646	92.268412
1.500000	61600	1.578251	92.206169
1.500000	62100	1.612174	92.038647
1.500000	62600	1.608355	92.057508
1.500000	63100	1.578281	92.206022
1.500000	63600	1.623502	91.982704
1.500000	64100	1.586829	92.163807
1.500000	64600	1.542260	92.383901
1.500000	65100	1.596048	92.118280
1.500000	65600	1.581105	92.192073
1.500000	66100	1.612035	92.039334
1.500000	66600	1.593851	92.129129
1.500000	67100	1.590123	92.147541
1.500000	67600	1.604723	92.075444
1.500000	68100	1.601564	92.091043
1.500000	68600	1.595499	92.120991
1.500000	69100	1.583075	92.182344
1.500000	69600	1.599343	92.102011
1.500000	70100	1.623755	91.981455
1.500000	70600	1.560627	92.293201
1.500000	71100	1.571582	92.239100
1.500000	71600	1.562870	92.282123
1.500000	72100	1.567479	92.259362
1.500000	72600	1.594060	92.128099
1.500000	73100	1.584819	92.173735
1.500000	73600	1.589460	92.150815
1.500000	74100	1.645688	91.873144
1.500000	74600	1.587969	92.158177
1.500000	75100	1.597081	92.113182
1.500000	75600	1.598036	92.108466
1.500000	76100	1.579819	92.198423
1.500000	76600	1.596208	92.117493
1.500000	77100	1.611333	92.042802
1.500000	77600	1.597297	92.112113
1.500000	78100	1.623630	91.982074
1.500000	78600	1.584447	92.175573
1.500000	79100	1.629984	91.950695
1.500000	79600	1.612877	92.035176
1.500000	80100	1.590421	92.146067
1.500000	80600	1.598645	92.105459
1.500000	81100	1.586042	92.167694
1.500000	81600	1.601388	92.091912
1.500000	82100	1.608654	92.056029
1.500000	82600	1.611419	92.042373
1.500000	83100	1.607572	92.061372
1.500000	83600	1.595535	92.120813
1.500000	84100	1.582197	92.186683
1.500000	84600	1.600133	92.098109
1.500000	85100	1.627377	91.963572
1.500000	85600	1.593032	92.133178
1.500000	86100	1.578841	92.203252
1.500000	86600	1.566452	92.264434
1.500000	87100	1.582801	92.183697
1.500000	87600	1.608442	92.057078
1.500000	88100	1.593797	92.129398
1.500000	88600	1.591888	92.138826
1.500000	89100	1.601591	92.090909
1.500000	89600	1.612316	92.037946
